config_label,question_id,question,expected_answer,answerable,supporting_pages,supporting_section_heading,retrieved_chunk_ids,retrieved_pages,hit_at_1,hit_at_3,recall_at_5,mrr_at_5,ndcg_at_5,context_precision,context_recall,latency_ms,top_chunk_score,top_chunk_preview,notes
section_500_o10,q011,"For Money in Transit, until when does the cover apply?",Cover applies up until the close of business on the next bank trading day from when the Transit commenced.,True,35,Money Section - The cover,0163.1 | 0168.1 | 0180.1 | 0167.1 | 0177.1,35 | 35 | 37 | 35 | 36,1.0,1.0,1.0,1.0,1.0,0.2,1.0,11.39,19.1995,document a money in transit money in transit or in a nightsafe or automatic teller machine until removed by a financial service provider employee provided that this cover only applies up until the close of business on th,
section_500_o10,q012,What cost does the Glass Section pay for broken Glass?,It pays the actual cost of replacing and fixing the Glass with Glass of a similar type and quality.,True,38,Glass Section - The cover,0184.1 | 0185.1 | 0189.1 | 0523.1 | 0191.1,38 | 38 | 38 | 89 | 38,1.0,1.0,1.0,1.0,1.0,0.2,1.0,11.89,22.853,document the cover we will pay you for the actual cost of replacing and fixing the glass in its frame or in its location with glass of a similar type and quality to the glass that is broken due to accidental breakage of ,
section_500_o10,q013,What does the Machinery Breakdown Section cover?,It covers Breakdown to Machinery occurring at the Situation during the Period of Insurance.,True,39,Machinery Breakdown Section - The cover,0193.1 | 0192.1 | 0207.1 | 0007.1 | 0206.1,39 | 39 | 40 | 7 | 40,1.0,1.0,1.0,1.0,1.0,0.2,1.0,10.76,12.1524,document definitions applicable to this section the following definitions shall apply to the words used in this section blanket machinery means all machinery at the situation other than specified machinery and excluded m,
section_500_o10,q014,"Under the Electronic Equipment Section optional Cost of restoring data benefit, what backup copies must You have?","You must have duplicate back up copies of updated Electronic Data stored off site at alternative premises, in a cloud storage service or on an external server.",True,44,Electronic Equipment Section - Cost of restoring data,0232.1 | 0231.1 | 0067.1 | 0109.1 | 0103.1,44 | 44 | 19 | 27 | 26,1.0,1.0,1.0,1.0,1.0,0.2,1.0,10.93,27.9208,document 2 specific condition applying to this optional benefit we will not pay any amount under this optional benefit unless you have duplicate back up copies of updated electronic data stored off site at alternative pr,
section_500_o10,q015,"A salesperson normally resident in Australia travels overseas for work and neither does nor supervises manual work. Under the Public and Products Liability territorial limits, where can cover apply?",Cover can apply elsewhere in the world for travelling executives or salespeople normally resident in Australia who neither undertake nor supervise manual work.,True,48,Public and Products Liability Section - Territorial Limits,0249.1 | 0007.2 | 0056.1 | 0204.1 | 0227.1,48 | 7 | 18 | 40 | 44,1.0,1.0,1.0,1.0,1.0,0.2,1.0,11.23,50.7038,document territorial limits means a anywhere within australia or its external territories b elsewhere in the world but only in respect of i travelling executives or salespeople who are normally resident in australia and ,
section_500_o10,q016,What cover types are available under the Business Interruption Section?,"Part A - Business Income Protection, Part B - Consequential Loss of Profits, and Part C - Business Continuity.",True,56,Business Interruption Section - Cover type,0310.1 | 0008.1 | 0390.1 | 0233.1 | 0094.1,56 | 8 | 68 | 44 | 24,1.0,1.0,1.0,1.0,1.0,0.2,1.0,11.32,17.3536,document cover type the following cover types are available under this section part a business income protection part b consequential loss of profits or part c business continuity your cover selection will be shown in yo,
section_500_o10,q017,"Under the General Property Section, where does cover for Accidental Damage apply?","Cover applies anywhere in the world, unless the geographical limits are amended by an Endorsement shown in the Schedule.",True,67,General Property Section - Geographical limits,0495.1 | 0365.1 | 0007.1 | 0064.1 | 0485.1,85 | 64 | 7 | 18 | 83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.18,14.8237,document specific conditions applicable to this section the following specific conditions apply to this section in addition to the general terms and conditions in the event of damage to property insured under this sectio,
section_500_o10,q018,By when must a Crime loss be discovered under Management Liability Part C?,"The loss must be discovered not later than 12 months after the expiry of the Period of Insurance or not later than 12 months after termination of the Employee's employment, whichever occurs first.",True,80,Management Liability Section - Part C - Crime - The cover,0390.1 | 0065.1 | 0094.1 | 0008.1 | 0470.1,68 | 18 | 24 | 8 | 81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.93,16.4245,document cover types the following cover options are available under this section part a directors and officers liability part b employment practices liability part c crime part d tax audit,
section_500_o10,q019,When does Transit commence under the Goods In Transit Section?,Transit commences when the Property Insured is first moved from a place of storage for the specific purpose of loading onto the Conveyance.,True,83,Goods In Transit Section - Definitions applicable to this Section,0487.1 | 0486.1 | 0065.1 | 0163.1 | 0482.1,84 | 83 | 18 | 35 | 83,0.0,1.0,1.0,0.5,0.631,0.2,1.0,11.53,14.2491,document transit includes any transit to or from and while the property insured is at any premises for the purpose of packing or preparation for shipment for a period of up to one month prior to shipment transit excludes,
section_500_o10,q020,What email address is provided for the Direct Marketing Privacy Service Line?,Not answerable from the provided PDF.,False,13,Privacy Notice - Why We collect Your personal information,0036.1 | 0035.1 | 0034.1 | 0088.1 | 0039.1,13 | 12 | 12 | 23 | 13,,,,,,,,11.41,22.3925,document why we collect your personal information we collect your personal information to enable us to provide our products and services including to process and settle claims make off ers of products and services provid,Unanswerable questions are excluded from ranking aggregates in this notebook phase.
section_800_o10,q001,Does the policy automatically provide cover for loss or damage caused by Flood?,No. The policy does not automatically provide cover for loss or damage caused by Flood.,True,7,Summary of the available covers,0007.1 | 0137.1 | 0064.1 | 0062.1 | 0068.1,7 | 30 | 18 | 18 | 19,1.0,1.0,1.0,1.0,1.0,0.2,1.0,11.37,15.0299,document summary of the available covers not everything is covered by the policy the following is a limited summary only and as such does not form part of the terms of your insurance all cover is subject to the applicabl,
section_800_o10,q002,Which sections are insured under the policy?,Only the sections shown as covered in the Schedule are insured.,True,9,Our contract with You,0462.1 | 0094.1 | 0485.1 | 0010.1 | 0312.1,80 | 24 | 83 | 9 | 56,0.0,0.0,1.0,0.25,0.431,0.2,1.0,10.83,10.5282,document 2 accumulation of sum insured any amount payable to you under this section will not accumulate with any other cover that may be available for the same loss under theft and or money sections of the policy,
section_800_o10,q003,How long is the cooling off period for this insurance?,The cooling off period is 14 days.,True,10,Your cooling off rights,0014.1 | 0605.1 | 0017.1 | 0451.1 | 0042.1,10 | 96 | 10 | 79 | 13,1.0,1.0,1.0,1.0,1.0,0.2,1.0,11.09,23.8196,document your cooling off rights a 14 day cooling off period applies to this insurance so if you decide you don't want this policy you can cancel it up to 14 days from the date we issue a new policy to you or the start d,
section_800_o10,q004,What must You disclose before entering into the insurance contract?,"You must disclose every matter You know, or could reasonably be expected to know, is relevant to Allianz's decision whether to accept the risk and on what terms.",True,12,Your Duty of Disclosure,0032.1 | 0010.1 | 0590.1 | 0408.1 | 0398.1,12 | 9 | 95 | 71 | 69,1.0,1.0,1.0,1.0,1.0,0.2,1.0,11.8,23.5068,document your duty of disclosure before you enter into a contract of insurance with us you have a duty under the insurance contracts act 1984 to disclose to us every matter that you know or could reasonably be expected t,
section_800_o10,q005,A building has been left vacant for more than 60 consecutive days. What does the Unoccupied Buildings exclusion say about cover at that building?,The policy does not provide cover at a Building after it has been Unoccupied for more than 60 consecutive days.,True,19,General exclusions - Unoccupied Buildings,0069.1 | 0160.1 | 0108.1 | 0136.1 | 0386.1,19 | 34 | 27 | 30 | 67,1.0,1.0,1.0,1.0,1.0,0.2,1.0,11.21,49.8175,document 7 unoccupied buildings except for loss or damage to property insured caused by a lightning earthquake and subterranean fire or b impact by any road vehicle or their loads animals trees or branches meteorite airc,
section_800_o10,q006,What does the policy mean by Excess?,"Excess is the amount of money specified in the Schedule or Policy that You must contribute for claims from one event, or the specified period for which no payment will be made by Allianz.",True,16,General definitions - Excess,0030.1 | 0011.1 | 0015.1 | 0595.1 | 0590.1,12 | 9 | 10 | 95 | 95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.09,8.5892,document renewal procedure before your policy expires we will advise you whether we intend to off er renewal and if so on what terms this document also applies for any off er of renewal we may make unless we tell you oth,
section_800_o10,q007,One event leads to claims under more than one section of the policy. Which Excess applies?,Only the single highest Excess applies to all claims arising out of the one event.,True,24,General terms and conditions - Payment of Excess,0091.1 | 0302.1 | 0433.1 | 0095.1 | 0224.1,24 | 55 | 76 | 24 | 43,1.0,1.0,1.0,1.0,1.0,0.2,1.0,12.52,24.1952,document 15 payment of excess you must pay the excess amount as a contribution to your claim and in accordance with the terms and conditions applicable to the section of your policy under which you are making a claim if ,
section_800_o10,q008,"What must You do about the police if malicious Damage, theft, attempted theft or loss of property may result in a claim?",You must inform the police as soon as reasonably possible.,True,20,Claims procedure and conditions - Claims procedure,0073.1 | 0590.1 | 0093.1 | 0213.1 | 0593.1,20 | 95 | 24 | 41 | 95,1.0,1.0,1.0,1.0,1.0,0.2,1.0,12.28,24.0162,document 1 claims procedure a as soon as reasonably possible of you becoming aware of anything happening which may result in a claim under the policy you must take reasonable steps to do the following at your own expense,
section_800_o10,q009,What does the Commercial Property Section cover?,"It covers Property Insured that is accidentally Damaged at the Situation during the Period of Insurance, subject to the applicable limits and Basis of Settlement.",True,25,Commercial Property Section - The cover,0312.1 | 0065.1 | 0007.1 | 0094.1 | 0339.1,56 | 18 | 7 | 24 | 61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.52,11.131,document defined events applicable to parts a b and c of this section 1 any damage to property insured for which you are insured by us a or would have been had there not been an excess under the commercial property secti,
section_800_o10,q010,"Under the Theft Section, what type of building entry or exit can trigger cover?","Visible, forcible and violent entry into or exit from Buildings at the Situation can trigger cover.",True,32,Theft Section - The cover,0141.1 | 0386.1 | 0158.1 | 0146.1 | 0159.1,32 | 67 | 34 | 33 | 34,1.0,1.0,1.0,1.0,1.0,0.2,1.0,11.26,18.1363,document the cover we will pay you in accordance with the basis of settlement for the cost of replacing or repairing property insured following theft from the situation happening during the period of insurance by 1 visib,
section_800_o10,q011,"For Money in Transit, until when does the cover apply?",Cover applies up until the close of business on the next bank trading day from when the Transit commenced.,True,35,Money Section - The cover,0163.1 | 0168.1 | 0180.1 | 0167.1 | 0177.1,35 | 35 | 37 | 35 | 36,1.0,1.0,1.0,1.0,1.0,0.2,1.0,10.96,19.3292,document a money in transit money in transit or in a nightsafe or automatic teller machine until removed by a financial service provider employee provided that this cover only applies up until the close of business on th,
section_800_o10,q012,What cost does the Glass Section pay for broken Glass?,It pays the actual cost of replacing and fixing the Glass with Glass of a similar type and quality.,True,38,Glass Section - The cover,0184.1 | 0185.1 | 0189.1 | 0523.1 | 0191.1,38 | 38 | 38 | 89 | 38,1.0,1.0,1.0,1.0,1.0,0.2,1.0,10.95,22.9489,document the cover we will pay you for the actual cost of replacing and fixing the glass in its frame or in its location with glass of a similar type and quality to the glass that is broken due to accidental breakage of ,
section_800_o10,q013,What does the Machinery Breakdown Section cover?,It covers Breakdown to Machinery occurring at the Situation during the Period of Insurance.,True,39,Machinery Breakdown Section - The cover,0193.1 | 0192.1 | 0207.1 | 0007.1 | 0206.1,39 | 39 | 40 | 7 | 40,1.0,1.0,1.0,1.0,1.0,0.2,1.0,10.48,12.147,document definitions applicable to this section the following definitions shall apply to the words used in this section blanket machinery means all machinery at the situation other than specified machinery and excluded m,
section_800_o10,q014,"Under the Electronic Equipment Section optional Cost of restoring data benefit, what backup copies must You have?","You must have duplicate back up copies of updated Electronic Data stored off site at alternative premises, in a cloud storage service or on an external server.",True,44,Electronic Equipment Section - Cost of restoring data,0232.1 | 0231.1 | 0067.1 | 0109.1 | 0103.1,44 | 44 | 19 | 27 | 26,1.0,1.0,1.0,1.0,1.0,0.2,1.0,10.95,27.9929,document 2 specific condition applying to this optional benefit we will not pay any amount under this optional benefit unless you have duplicate back up copies of updated electronic data stored off site at alternative pr,
section_800_o10,q015,"A salesperson normally resident in Australia travels overseas for work and neither does nor supervises manual work. Under the Public and Products Liability territorial limits, where can cover apply?",Cover can apply elsewhere in the world for travelling executives or salespeople normally resident in Australia who neither undertake nor supervise manual work.,True,48,Public and Products Liability Section - Territorial Limits,0249.1 | 0056.1 | 0204.1 | 0227.1 | 0297.1,48 | 18 | 40 | 44 | 55,1.0,1.0,1.0,1.0,1.0,0.2,1.0,11.07,51.0763,document territorial limits means a anywhere within australia or its external territories b elsewhere in the world but only in respect of i travelling executives or salespeople who are normally resident in australia and ,
section_800_o10,q016,What cover types are available under the Business Interruption Section?,"Part A - Business Income Protection, Part B - Consequential Loss of Profits, and Part C - Business Continuity.",True,56,Business Interruption Section - Cover type,0310.1 | 0008.1 | 0390.1 | 0233.1 | 0094.1,56 | 8 | 68 | 44 | 24,1.0,1.0,1.0,1.0,1.0,0.2,1.0,11.07,17.3926,document cover type the following cover types are available under this section part a business income protection part b consequential loss of profits or part c business continuity your cover selection will be shown in yo,
section_800_o10,q017,"Under the General Property Section, where does cover for Accidental Damage apply?","Cover applies anywhere in the world, unless the geographical limits are amended by an Endorsement shown in the Schedule.",True,67,General Property Section - Geographical limits,0495.1 | 0365.1 | 0007.1 | 0064.1 | 0485.1,85 | 64 | 7 | 18 | 83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.37,14.8519,document specific conditions applicable to this section the following specific conditions apply to this section in addition to the general terms and conditions in the event of damage to property insured under this sectio,
section_800_o10,q018,By when must a Crime loss be discovered under Management Liability Part C?,"The loss must be discovered not later than 12 months after the expiry of the Period of Insurance or not later than 12 months after termination of the Employee's employment, whichever occurs first.",True,80,Management Liability Section - Part C - Crime - The cover,0390.1 | 0065.1 | 0094.1 | 0008.1 | 0470.1,68 | 18 | 24 | 8 | 81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.28,16.4605,document cover types the following cover options are available under this section part a directors and officers liability part b employment practices liability part c crime part d tax audit,
section_800_o10,q019,When does Transit commence under the Goods In Transit Section?,Transit commences when the Property Insured is first moved from a place of storage for the specific purpose of loading onto the Conveyance.,True,83,Goods In Transit Section - Definitions applicable to this Section,0487.1 | 0486.1 | 0065.1 | 0163.1 | 0482.1,84 | 83 | 18 | 35 | 83,0.0,1.0,1.0,0.5,0.631,0.2,1.0,11.12,14.4276,document transit includes any transit to or from and while the property insured is at any premises for the purpose of packing or preparation for shipment for a period of up to one month prior to shipment transit excludes,
section_800_o10,q020,What email address is provided for the Direct Marketing Privacy Service Line?,Not answerable from the provided PDF.,False,13,Privacy Notice - Why We collect Your personal information,0036.1 | 0035.1 | 0034.1 | 0088.1 | 0039.1,13 | 12 | 12 | 23 | 13,,,,,,,,10.75,22.3988,document why we collect your personal information we collect your personal information to enable us to provide our products and services including to process and settle claims make off ers of products and services provid,Unanswerable questions are excluded from ranking aggregates in this notebook phase.
hybrid_500_o10,q001,Does the policy automatically provide cover for loss or damage caused by Flood?,No. The policy does not automatically provide cover for loss or damage caused by Flood.,True,7,Summary of the available covers,h0006.1 | h0034 | h0060 | h0059 | h0063.1,"7 | 19,20 | 30 | 29,30 | 31",1.0,1.0,1.0,1.0,1.0,0.2,1.0,13.62,14.6073,document summary of the available covers not everything is covered by the policy the following is a limited summary only and as such does not form part of the terms of your insurance all cover is subject to the applicabl,
hybrid_500_o10,q002,Which sections are insured under the policy?,Only the sections shown as covered in the Schedule are insured.,True,9,Our contract with You,h0033 | h0045 | h0030 | h0032 | h0031,"19 | 24 | 18 | 19 | 18,19",0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.44,6.7732,Document > b. Electronic Data and Cyber - Part 2 This Electronic Data exclusion is applicable to the following Sections of the Policy: - Machinery Breakdown Section - Electronic Equipment Section These Sections do not in,
hybrid_500_o10,q003,How long is the cooling off period for this insurance?,The cooling off period is 14 days.,True,10,Your cooling off rights,h0011 | h0020 | h0019 | h0014 | h0017,"9,10 | 13 | 12,13 | 11 | 12",1.0,1.0,1.0,1.0,1.0,0.2,1.0,13.51,15.4984,"Document > Applying for cover When You apply by completing Our application process You need to provide the information We require to determine whether to issue a Policy and if so, on what terms, including (to the extent ",
hybrid_500_o10,q004,What must You disclose before entering into the insurance contract?,"You must disclose every matter You know, or could reasonably be expected to know, is relevant to Allianz's decision whether to accept the risk and on what terms.",True,12,Your Duty of Disclosure,h0017 | h0018 | h0009 | h0010 | h0016,"12 | 12 | 9 | 9 | 11,12",1.0,1.0,1.0,1.0,1.0,0.2,1.0,13.46,20.1261,"Document > Renewal procedure Before Your Policy expires We will advise You whether We intend to off er renewal and if so on what terms. This document also applies for any off er of renewal We may make, unless We tell You",
hybrid_500_o10,q005,A building has been left vacant for more than 60 consecutive days. What does the Unoccupied Buildings exclusion say about cover at that building?,The policy does not provide cover at a Building after it has been Unoccupied for more than 60 consecutive days.,True,19,General exclusions - Unoccupied Buildings,h0034 | h0035 | h0069 | h0070 | h0060,"19,20 | 19,20 | 34 | 34,35 | 30",1.0,1.0,1.0,1.0,1.0,0.2,1.0,13.99,42.6924,"Document > 6. Acquisition of Companies The Policy does not cover loss, destruction, liability or Damage directly or indirectly, caused by, contributed to by or arising from: - a. any company or other legal entity acquire",
hybrid_500_o10,q006,What does the policy mean by Excess?,"Excess is the amount of money specified in the Schedule or Policy that You must contribute for claims from one event, or the specified period for which no payment will be made by Allianz.",True,16,General definitions - Excess,h0010 | h0017 | h0025.1 | h0009 | h0016,"9 | 12 | 16 | 9 | 11,12",0.0,1.0,1.0,0.333,0.5,0.2,1.0,13.28,9.3754,"Document > Understanding Your Policy and its important terms and conditions To properly understand the significant features, benefits and risks of this insurance You need to carefully read: - about each of the available ",
hybrid_500_o10,q007,One event leads to claims under more than one section of the policy. Which Excess applies?,Only the single highest Excess applies to all claims arising out of the one event.,True,24,General terms and conditions - Payment of Excess,h0044 | h0052 | h0119 | h0161 | h0065,"24 | 27 | 55,56 | 74 | 32,33",1.0,1.0,1.0,1.0,1.0,0.2,1.0,13.8,13.7895,"Document > 13. One event for earthquake Only for the purpose of the application of any Excess, all loss or Damage resulting from earthquake occurring during each period of 72 consecutive hours will be considered as one e",
hybrid_500_o10,q008,"What must You do about the police if malicious Damage, theft, attempted theft or loss of property may result in a claim?",You must inform the police as soon as reasonably possible.,True,20,Claims procedure and conditions - Claims procedure,h0037 | h0036 | h0209 | h0210 | h0194,"20 | 20 | 94,95 | 95 | 87,88",1.0,1.0,1.0,1.0,1.0,0.2,1.0,13.93,24.1459,Document > 1. Claims procedure - a. As soon as reasonably possible of You becoming aware of anything happening which may result in a claim under the Policy You must take reasonable steps to do the following at Your own e,
hybrid_500_o10,q009,What does the Commercial Property Section cover?,"It covers Property Insured that is accidentally Damaged at the Situation during the Period of Insurance, subject to the applicable limits and Basis of Settlement.",True,25,Commercial Property Section - The cover,h0030 | h0121 | h0122 | h0006.1 | h0010,18 | 56 | 56 | 7 | 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25,8.9719,"Document > 3. Computer technology The Policy does not cover any Damage to any appliance, machinery, equipment or other property which is a computer or which contains or comprises any computer technology (including comput",
hybrid_500_o10,q010,"Under the Theft Section, what type of building entry or exit can trigger cover?","Visible, forcible and violent entry into or exit from Buildings at the Situation can trigger cover.",True,32,Theft Section - The cover,h0064 | h0069 | h0070 | h0143 | h0144,"32 | 34 | 34,35 | 67 | 67",1.0,1.0,1.0,1.0,1.0,0.2,1.0,13.69,14.0373,Document Provided that We will pay for any Damage to Property Insured that is not otherwise excluded that results from Damage caused directly by or arising directly from any of these causes. 4. We will not cover Damage c,
hybrid_500_o10,q011,"For Money in Transit, until when does the cover apply?",Cover applies up until the close of business on the next bank trading day from when the Transit commenced.,True,35,Money Section - The cover,h0071 | h0072 | h0073 | h0070 | h0077,"35 | 35 | 35 | 34,35 | 37",1.0,1.0,1.0,1.0,1.0,0.2,1.0,14.09,15.2508,"Document > The cover We will pay, in accordance with Basis of Settlement, up to the Sum Insured shown in the Schedule for Loss of Money during the Period of Insurance for the following events: Document > a. Money in Tran",
hybrid_500_o10,q012,What cost does the Glass Section pay for broken Glass?,It pays the actual cost of replacing and fixing the Glass with Glass of a similar type and quality.,True,38,Glass Section - The cover,h0079 | h0078 | h0198 | h0197 | h0062,"38,39 | 37,38 | 89 | 88,89 | 30",1.0,1.0,1.0,1.0,1.0,0.2,1.0,13.83,17.9173,"Document > Additional Cost: We will pay any additional costs incurred by You: - a. in arranging after-hours services, express delivery and labour at overtime rates in relation to the repair and replacement of Broken Glas",
hybrid_500_o10,q013,What does the Machinery Breakdown Section cover?,It covers Breakdown to Machinery occurring at the Situation during the Period of Insurance.,True,39,Machinery Breakdown Section - The cover,h0088 | h0087 | h0083 | h0080 | h0006.1,"42,43 | 42 | 40,41 | 39 | 7",0.0,0.0,1.0,0.25,0.431,0.2,1.0,13.68,11.0613,Document > 1. Inspection Our representatives will have the right to inspect and examine any Machinery at a reasonable time and frequency during the Period of Insurance and You will take reasonable steps to properly prepa,
hybrid_500_o10,q014,"Under the Electronic Equipment Section optional Cost of restoring data benefit, what backup copies must You have?","You must have duplicate back up copies of updated Electronic Data stored off site at alternative premises, in a cloud storage service or on an external server.",True,44,Electronic Equipment Section - Cost of restoring data,h0092 | h0091 | h0033 | h0032 | h0051,"44,45 | 44 | 19 | 19 | 26,27",1.0,1.0,1.0,1.0,1.0,0.2,1.0,13.52,27.6969,"Document > 1. Cover If the optional benefit 'Cost of Restoring Data' is operative We will pay You up to the Sum Insured shown in the Schedule, following a claim being admitted under this Section, for the costs incurred f",
hybrid_500_o10,q015,"A salesperson normally resident in Australia travels overseas for work and neither does nor supervises manual work. Under the Public and Products Liability territorial limits, where can cover apply?",Cover can apply elsewhere in the world for travelling executives or salespeople normally resident in Australia who neither undertake nor supervise manual work.,True,48,Public and Products Liability Section - Territorial Limits,h0101 | h0006.2 | h0116 | h0006.1 | h0099,48 | 7 | 54 | 7 | 47,1.0,1.0,1.0,1.0,1.0,0.2,1.0,14.06,39.9918,"Document > Personal Injury means: - a. bodily injury, death, sickness, disease, shock, fright, mental anguish, mental injury or loss of consortium; - b. false arrest, false detention, wrongful imprisonment, malicious pro",
hybrid_500_o10,q016,What cover types are available under the Business Interruption Section?,"Part A - Business Income Protection, Part B - Consequential Loss of Profits, and Part C - Business Continuity.",True,56,Business Interruption Section - Cover type,h0007 | h0010 | h0009 | h0121 | h0213,"8,9 | 9 | 9 | 56 | 96,97",0.0,0.0,1.0,0.25,0.431,0.2,1.0,13.82,12.8011,"Document | Sections | Summary of covers (This table is not to be relied on as an accurate description of cover. See relevant Section for details, relevant limits, and specific conditions and exclusions that apply) | |---",
hybrid_500_o10,q017,"Under the General Property Section, where does cover for Accidental Damage apply?","Cover applies anywhere in the world, unless the geographical limits are amended by an Endorsement shown in the Schedule.",True,67,General Property Section - Geographical limits,h0030 | h0142 | h0006.1 | h0107 | h0203,"18 | 66,67 | 7 | 50,51 | 91,92",0.0,1.0,1.0,0.5,0.631,0.2,1.0,14.0,10.058,"Document > 3. Computer technology The Policy does not cover any Damage to any appliance, machinery, equipment or other property which is a computer or which contains or comprises any computer technology (including comput",
